unique_identifier,Club_Name,Postal_Code,Address,Age,Category,Activity,Website
218,Aikido Dojo Turku ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
598,Turun Yamatokai ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
857,Idrottsklubben Academia,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
705,Turun Han Moo Do ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
722,Gladiator Turku Judo-Samboseura ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
610,Shisei ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
299,Turun judoseura ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
555,Karate-do Shotokai – Ken Sei Kan ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
952,Kyokushin Karate – Kyokushinkarate Turku Finland ry.,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
852,Choy Lee Fut – Choy Lee Fut Kung Fu Turku ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
971,Shaolin Kung Fu - Turun Wushu Kungfu Seura ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
658,Tang Lang - Turun Tang Lang Quan,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
695,Gladiator Turku Judo-Samboseura ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
316,Turun Hapkidoseura ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
515,Turun Taekwondo ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
311,Turun Taidoseura ry,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
929,Turun Kontaktikarateseura,20300,Raunistulantie 15,8,Sports,Sports,http://www.tkks.net/
957,Turun Teräs,20300,Raunistulantie 15,8,Sports,Sports,http://www.tute.fi/
922,Turun Urheiluliitto,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunurheiluliitto.fi/
699,Turun Weikot,20300,Raunistulantie 15,8,Sports,Sports,http://www.turunweikot.fi/
